rank,issue_id,repo_name,title,created_at
1,4516,networkx/networkx,Add edge ID attribute to nx.readwrite.json_graph.cytoscape_data(G),2021-01-03T19:16:59+00:00
2,4520,networkx/networkx,`from_nested_tuple` does not allow edge attributes,2021-01-05T02:41:47+00:00
3,4523,networkx/networkx,Review core view object documentation,2021-01-05T03:28:33+00:00
4,4525,networkx/networkx,transform keyword for `draw_networkx`,2021-01-05T11:20:48+00:00
5,4535,networkx/networkx,view_pygraphviz doesn't escape labels,2021-01-12T12:46:46+00:00
6,4601,networkx/networkx,"When drawing directed edges, account for node boundary width",2021-02-05T11:27:03+00:00
7,4644,networkx/networkx,Matching routines use sets to represent edges. Should they?,2021-03-01T17:04:17+00:00
8,4737,networkx/networkx,Export to GraphML does not work as defined in the tutorial,2021-04-09T15:20:50+00:00
9,4765,networkx/networkx,Improve documentation for the View classes,2021-04-28T02:34:19+00:00
10,4885,networkx/networkx,The implementation of `_fruchterman_reingold` significantly deviates from the original algorithm with adverse effects for every graph that is not fully symmetric,2021-06-09T21:04:33+00:00
11,4895,networkx/networkx,Speedup in code close to core classes,2021-06-11T22:17:52+00:00
12,4935,networkx/networkx,quotient_graph seems particularly slow,2021-06-28T16:52:20+00:00
13,4936,networkx/networkx,refactor assortativity subpackage,2021-06-28T17:02:20+00:00
14,4951,networkx/networkx,Edmonds implementation is biased towards placing low-index nodes higher in the tree,2021-07-03T11:13:04+00:00
15,4973,networkx/networkx,Request for adding more centrality algorithms,2021-07-14T08:11:41+00:00
16,4980,networkx/networkx,Shortest path doesn't work properly with multigraph,2021-07-23T16:29:28+00:00
17,4993,networkx/networkx,directed_laplacian_matrix has a confusing name,2021-07-29T14:59:31+00:00
18,5012,networkx/networkx,Implementation of newman_watts_strogatz_graph inconsistent with model,2021-08-09T23:55:32+00:00
19,5013,networkx/networkx,Read pajek file with multiple arcs field,2021-08-10T05:03:34+00:00
20,5016,networkx/networkx,transitive_closure in dag.py works on non-dags,2021-08-12T08:23:51+00:00
21,5030,networkx/networkx,generate LFR benchmark graph and the use of configuration model,2021-08-24T02:43:25+00:00
22,5034,networkx/networkx,`descendants` and `ancestors` functions are misplaced,2021-08-26T14:05:59+00:00
23,5067,networkx/networkx,Documentation seems to imply that subgraph monomorphism is not supported,2021-09-07T13:45:43+00:00
24,5076,networkx/networkx,Documentation: Left vs right eigenvector for eigenvector centrality,2021-09-10T09:55:15+00:00
25,5189,networkx/networkx,Replace custom solvers in algebraicconnectivity with scipy.sparse.linalg equivalents,2021-11-19T05:53:30+00:00
26,5195,networkx/networkx,Sparse implementation for attr_matrix,2021-11-20T07:35:43+00:00
27,5206,networkx/networkx,Self loop drawing not working with custom layout,2021-11-30T16:07:57+00:00
28,5239,networkx/networkx,"minimum_cut returns correct value, valid partition, but different from what it claims to return",2021-12-22T11:15:05+00:00
29,5246,networkx/networkx,Improving the performance of triangles,2022-01-03T01:58:26+00:00
30,5277,networkx/networkx, Using `networkx.readwrite.json_graph.tree_data` does not preserve Graph attributes,2022-01-25T01:41:42+00:00
31,5295,networkx/networkx,Make a matching generic_edge_bfs to accompany generic_bfs_edge,2022-02-02T12:51:28+00:00
32,5340,networkx/networkx,Speed up max_weight_matching,2022-02-18T19:48:04+00:00
33,5377,networkx/networkx,"In docstrings, the parameter type ""container"" has ambiguous meaning",2022-03-08T18:47:23+00:00
34,5436,networkx/networkx,Investigate `min_weighted_dominating_set` for directed graphs,2022-03-29T01:28:41+00:00
35,5445,networkx/networkx,`graph6.py` module - possible refactor candidate,2022-03-31T01:05:23+00:00
36,5472,networkx/networkx,Adding examples on functions related to graph covers,2022-04-05T10:00:54+00:00
37,5596,networkx/networkx,TSP methods has different functional prescription and function traveling_salesman_problem doesn't count with that,2022-05-02T18:28:06+00:00
38,5597,networkx/networkx,GEXF format restricts attribute lists to be a specific format for temporal graphs. Should it?,2022-05-03T12:49:09+00:00
39,5609,networkx/networkx,drawing multiedges especially with labels does not work,2022-05-06T14:49:20+00:00
