file_path,betweenness,pagerank,degree,repo_name
.circleci\fetch_doc_logs.py,0.0,0.000684,0,matplotlib/matplotlib
ci\check_version_number.py,0.0,0.000684,1,matplotlib/matplotlib
ci\check_wheel_licenses.py,0.0,0.000684,0,matplotlib/matplotlib
ci\export_sdist_name.py,0.0,0.000684,0,matplotlib/matplotlib
doc\conf.py,0.0,0.000684,3,matplotlib/matplotlib
lib\pylab.py,0.0,0.000684,1,matplotlib/matplotlib
tools\autoclose_prs.py,0.0,0.000684,1,matplotlib/matplotlib
tools\boilerplate.py,0.0,0.000684,3,matplotlib/matplotlib
tools\cache_zenodo_svg.py,0.0,0.000684,0,matplotlib/matplotlib
tools\check_typehints.py,0.0,0.000684,0,matplotlib/matplotlib
tools\generate_matplotlibrc.py,0.0,0.000684,0,matplotlib/matplotlib
tools\gh_api.py,0.0,0.001266,1,matplotlib/matplotlib
tools\github_stats.py,0.0,0.000684,1,matplotlib/matplotlib
tools\make_icons.py,0.0,0.000684,0,matplotlib/matplotlib
tools\memleak.py,0.0,0.000684,3,matplotlib/matplotlib
tools\run_clang_tidy.py,0.0,0.000684,0,matplotlib/matplotlib
tools\run_examples.py,0.0,0.000684,0,matplotlib/matplotlib
tools\stubtest.py,0.0,0.000684,0,matplotlib/matplotlib
tools\subset.py,0.0,0.000684,0,matplotlib/matplotlib
tools\triage_tests.py,0.0,0.000684,1,matplotlib/matplotlib
tools\visualize_tests.py,0.0,0.000684,1,matplotlib/matplotlib
lib\matplotlib\animation.py,5.8e-05,0.000975,5,matplotlib/matplotlib
lib\matplotlib\artist.py,0.007057,0.012791,33,matplotlib/matplotlib
lib\matplotlib\axis.py,0.004291,0.003035,15,matplotlib/matplotlib
lib\matplotlib\backend_bases.py,0.038597,0.015004,40,matplotlib/matplotlib
lib\matplotlib\backend_managers.py,0.0,0.001747,2,matplotlib/matplotlib
lib\matplotlib\backend_tools.py,0.0,0.001017,4,matplotlib/matplotlib
lib\matplotlib\bezier.py,0.0,0.00719,4,matplotlib/matplotlib
lib\matplotlib\category.py,0.0,0.000807,3,matplotlib/matplotlib
lib\matplotlib\cbook.py,0.001884,0.011628,19,matplotlib/matplotlib
lib\matplotlib\cm.py,0.013666,0.020491,10,matplotlib/matplotlib
lib\matplotlib\collections.py,0.032588,0.053106,43,matplotlib/matplotlib
